"cohort_month","customer_count","avg_orders","avg_sales","avg_profit","avg_lifespan_days","avg_projected_clv","retention_rate","clv_vs_overall_avg"
"2010-12-01 00:00:00","5","1.60","431.40","63.18","62.00","1258.78","0.00","-350.59"
"2011-01-01 00:00:00","32","1.28","597.28","94.34","140.81","435.03","21.88","-186.60"
"2011-02-01 00:00:00","29","1.28","636.17","-78.54","108.10","-10064.66","20.69","1903.64"
"2011-03-01 00:00:00","32","1.50","679.72","148.21","99.16","-366.25","18.75","-27.09"
"2011-04-01 00:00:00","23","1.26","583.43","9.78","57.78","1617.82","8.70","-422.07"
"2011-05-01 00:00:00","19","1.21","761.89","125.37","49.63","4113.09","10.53","-918.82"
"2011-06-01 00:00:00","14","1.00","192.86","25.49","22.21","217.24","0.00","-143.25"
"2011-07-01 00:00:00","26","1.08","460.46","83.85","18.73","453.16","11.54","-190.21"
"2011-08-01 00:00:00","18","1.11","691.22","107.98","14.61","562.65","11.11","-212.01"
"2011-09-01 00:00:00","12","1.00","496.58","-101.24","8.50","-2994.24","8.33","496.08"
"2011-10-01 00:00:00","22","1.05","565.45","129.91","2.09","376.37","4.55","-174.93"
"2011-11-01 00:00:00","17","1.06","513.00","1.23","2.06","-2335.13","100.00","364.87"
"2011-12-01 00:00:00","15","1.00","406.00","65.33","0.00","196.00","100.00","-139.02"
